SO Number,Date,Installation Complete,Machine Details,SerialNumber,CustomerName,Location,Region,ponumber,Ressubassembly,Resassembly,Res QA,Res Dispatch,Invoice Date,Invoice Number,Dispatch File,REMARKS,IncoTerms,SO_Date,PO_Date
680103452,26-Oct-18,Out Of Warranty,BIS+L.F,BISH1018038,Pam-Pac,Pune,West,PMEC expo,RAVI RATHOD,SHANKAR JHA,NP,BUNTY KUNDAPUR,29-Oct-18,CO1894000021,,NA,NA,21-Aug-18,21-Aug-18
680103467,25-Sep-18,Out Of Warranty,CPIR xl,Vfsh09180008,Indonesia exhib,Indonesia,ROW,All pack indonesia,Chetan patil,Deep Srivastava,,,,,,,,30-Aug-18,01.08.2018
680103610,22-Dec-18,Out Of Warranty,TE (V5),CS171218016,ASIA PHARMA,BANGLADESH,ROW,Asia Pharma 2019,CHETAN PATIL,CHETAN JADHAV,BHARAT RATHOD,BUNTY KUNDAPUR,20-Dec-18,CO1894000027,,NA,NA,14-Nov-18,14-Nov-18
680103742,12-Mar-19,Out Of Warranty,CPIR VS,CPIRVS0319009,Pharmaconex,Egypt,ROW,Pharmaconex2019,CHETAN PATIL,CHETAN JADHAV/GILBERT,NP,BUNTY,20-May-19,681000061,,NA,NA,23-Jan-19,Pharmaconex2019
680103743,19-Mar-19,Out Of Warranty,CPIR XL,VFSH0319056,CIPM CHINA,SWITZERLAND,EU/RU,CIPM2019,YOGENDRA P,GILBERT P.,NP,BUNTY KUNDAPUR,23-Mar-19,CO1894000041,,NA,NA,23-Jan-19,23-Jan-19
680103743,23-Mar-19,Out Of Warranty,BIS_OEM,BISH0319082,CIPM,CHINA,ROW,CIPM 2019,CHETAN PATIL,CHETAN DIXIT,Rupesh,BUNTY KUNDAPUR,23-Mar-19,CO1894000041,,NA,NA,23-Jan-19,23-Jan-19
680104236,03-Oct-19,Out Of Warranty,BIS_BL,BISH1019037,PAM(ABBOTT),PUNE(BADDI),West,DEMO PURPOSE,CHETAN PATIL,VIVIAN PINTO,Rupesh,Bunty,03-Jan-20,CO1994000025,,NA,NA,09-05-2019,09-05-2019
680104293,01-Oct-19,Out Of Warranty,BIS_BL prototype,BISH1019036,PMEC Exhibition,PUNE,West,Consignment PMEC,CHETAN P,VIVIAN PINTO,Rupesh,BUNTY KUNDAPUR,11-Oct-19,CO1994000015,,NA,NA,26-Sep-19,26-Sep-19
680104378,28-Nov-19,Out Of Warranty,BIS OEM C++,BISH1119047,CADILA PHARMA,DHOLKA,AMD,NA CONSIGNMENT,CHETAN PATIL,VIVIAN PINTO,Nikhil Patel,BUNTY,04-Dec-19,CO1994000022,,NA,NA,10/25/2019,NA
680104488,04-Jan-20,In Warranty,CPIR_XL,VFSH1219030,ASIA PHARMA,BANGLADESH,ROW,ASIA PHARMA 2019,YOGENDRA,BISWAJIT,Nikhil Patel,BUNTY KUNDAPUR,07-Jan-20,CO1994000027,,NA,NA,19-Dec-19,19-Dec-19
680104551,24-Feb-20,In Warranty,CPIR VS,CPIRVS0220006,PHARMACONEX,EGYPT,ROW,PHARMACONEX 2020,YOGENDRA,AKSHAY,,,,,,,,23-Jan-20,21-Jan-20
680104590,28-Feb-20,In Warranty,2BPO,CISH0220036,FOURRTS (INDIA),FOURRTS (INDIA) LABORATORIES PVT. L,South,consignment-Fourrts,Yogendra,Sankalp,BHARAT RATHOD,BUNTY KUNDAPUR,06-Mar-20,DO1990000305,,NA,NA,01-Feb-20,01-Feb-20
680104590,28-Feb-20,In Warranty,BIS_BL,BISH0220062,FOURRTS (INDIA,"CHENNAI, Region : SOUTH",South,,Yogendra,Sankalp,BHARAT RATHOD,BUNTY KUNDAPUR,06-Mar-20,DO1990000305,,NA,NA,01-Feb-20,01-Feb-20
680104888,25-Jun-20,In Warranty,"BIS-OEM, BS-20",BISH0620015,Pell Tech,Thane,West,Consignment for Pell tech,YOGENDRA PATEL,SANKALP MORE,Rupesh,,,,,,,23-Jun-20,23-Jun-20
680105304,25-Nov-20,In Warranty,BIS-B_C++,BISH1120064,Strides Pharma,Bangalore,South,Consgn. for Strides,YOGENDRA PATEL,SANKALP MORE,NP,BUNTY K,25-Nov-20,CO2094000015,,ok,na,24-Nov-20,24-Nov-20
680105725,08-Apr-21,In Warranty,CPIRXL(CS11),VFSH0421001,CIPM,CHINA,ROW,CIPM 2021,YOGENDRA,BISWAJIT,Rupesh D,BUNTY K,,,,,,30-Mar-21,30-Mar-21
680300306,27-Jun-19,Out Of Warranty,CPIR XL (SO-6803003014),VFSH0619005,ALEMBIC,GUJRAT,AMD,4200031336,YOGENDRA PATEL,GILBERT PEREIRA,Bharat,BUNTY KUNDAPUR,05-Jul-19,DO1990000061,,NA,NA,24-Jun-19,23-May-19
680300306,03-Jul-19,Out Of Warranty,CPIR XL (SO-6803003014),VFSH0619006,ALEMBIC Ltd,VADODARA,AMD,4200031336,Yogendra,BISWAJIT B,Rupesh,BUNTY KUNDAPUR,05-Jul-19,DO1990000061,,NA,NA,24-Jun-19,26-Jun-19
680300306,04-Jul-19,Out Of Warranty,CPIR XL (SO-6803003014),VFSH0719007,ALEMBIC,VADODARA,AMD,4200031336,Yogendra,BISWAJIT B,Rupesh,BUNTY KUNDAPUR,23-Jul-20,DO1990000072,,NA,NA,24-Jun-19,26-Jun-19
680300420,15-Oct-20,In Warranty,CPIR-XL,VFSH1020088,TORRENT PHARMA,AHMEDABAD,AMD,173314,YOGENDRA PATEL,BISWAJIT BEHERA,,,,,,,,22-Oct-20,13-Oct-20
680300583,09-Oct-21,In Warranty,CV51,CISH0921038,Mylan Laborator,NASHIK,West,4500978703,JOLDEN,JOLDEN,,,,,,,,06-Oct-21,09-Sep-21
680300803,24-Jun-21,In Warranty,BIS BS30,BISH0621030,WENZHOU,CHINA,ROW,WZRSJX210608-001,YOGENDRA,DEEP,np,BUNTY K,26-Jun-21,681000258,,ok,ok,11-Jun-21,09-Jun-21
680303136,12-Oct-19,Out Of Warranty,AFC,PCCH1019013,Cadila,Dholka,AMD,7100006880,YOGENDRA,Chetan,bharat,bunty,11-Nov-19,DO1990000196,,NA,NA,03-Oct-19,26-Sep-19
680303524,17-Dec-20,In Warranty,BIS-B_C++,BISH1120059,V-Ensure,Navi Munbai,West,5110088911,YOGENDRA PATEL,SANKALP MORE,NP,BUNTY K,,,,,,04-Nov-20,19-Oct-20
680400442,22-Oct-18,Out Of Warranty,Tertiary,VFTT1018008,LUPIN LTD,Pithampur,AMD,3400118287,Chetan Patil,Deep Srivastava,NP,BUNTY KUNDAPUR,23-Oct-18,DO1890000225,,NA,NA,24-Jul-18,07-Jul-18
680400448,19-Oct-18,Out Of Warranty,AFC,PCCH1018036,HETERO PHARMA,HYDRABAD,South,4500389333,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,24-Oct-18,DO1890000226,,NA,NA,06-Sep-18,20-Aug-18
680400448,22-Oct-18,Out Of Warranty,AFC,PCCH1018035,HETERO PHARMA,HYDRABAD,South,4500389333,CHETAN PATIL,BISWAJIT BEHERA,BHARAT RATHOD,BUNTY KUNDAPUR,24-Oct-18,DO1890000226,,NA,NA,06-Sep-18,20-Aug-18
680400469,21-Feb-19,Out Of Warranty,sbc,vfth0219101,AJANTA,DAHEJ,AMD,4500006785,Chetan Patil,Sudhir Sane,NP,BUNTY,25-Mar-19,DO1890000410,,NA,NA,22-Jan-19,25-Dec-18
682042050,05-Apr-18,Out Of Warranty,Universal,VFSH121701,Amneal Pharma,mumbai,West,340011103,Chetan Patil,biswa,,,,,,,,01-Jan-18,03-Jan-18
683002538,22-Aug-18,Out Of Warranty,ENSURA,CPIREN0818002,JULPHAR,"JEDDAH, SAUDI ARABIA",ROW,JSA0090/2018,AKSHAY SANKPAL,VIGNESH KUMAR G,Bharat Rathod,Jairaj,29-Aug-18,EX1892000028,,NA,NA,12-Apr-18,15-Feb-18
2603002630,16-Nov-18,Out Of Warranty,NANO,VFSHN0718004,AVARUS,CROATIA,EU/RU,AVARUS11052018,Akshay Sankpal,BISWAJIT,BR,BUNTY KUNDAPUR,30-Nov-18,681000008,,NA,NA,22-Jun-18,11-May-18
2603002630,16-Nov-18,Out Of Warranty,AFC,PCCH0718007,Avvarus,Croatia,EU/RU,AwaRus,chetan patil,deep shrivastava,BR,BUNTY KUNDAPUR,30-Nov-18,681000008,,NA,NA,22-Jun-18,11-May-18
2603002630,16-Nov-18,Out Of Warranty,AFC,PCCH0718006,AVARUS,CROATIA,EU/RU,AVARUS11052018,Akshay Sankpal,BISWAJIT,BR,BUNTY KUNDAPUR,30-Nov-18,681000008,,NA,NA,22-Jun-18,11-May-18
2603002630,16-Nov-18,Out Of Warranty,CPIR VS,CPIRVS0718001,Avvarus,Croatia,EU/RU,AwaRus,Chetan Patil,deep shrivastava,BR,BUNTY KUNDAPUR,30-Nov-18,681000008,,NA,NA,22-Jun-18,11-May-18
3100083444,15-May-19,Out Of Warranty,AFC,PCCH0519002,FKOL,Baddi,North,3100083444,AKSHAY,DEEP,BHARAT RATHOD,Jairaj,26-Jun-19,DO1990000050,,NA,NA,25-Apr-19,10-Apr-19
3803003526,09-Jan-21,In Warranty,Casepacker (Online Collation),PCCH1120029,Sigma pharma,USA,USA,Sigma Bector 205888,YOGENDRA,DEEP,BHARAT R,BUNTY K,,,,,,04-Nov-20,04-Nov-20
6801231234,19-Apr-18,Out Of Warranty,cpir-xl,VFSH0418053,torrent,mumbai,West,demo,CHETAN PATIL,SHANKAR JHA,,,,,,,,02-Apr-18,02-Apr-18
6803002068,01-Jun-18,Out Of Warranty,CPIR XL,VFSH0517002,ENCUBE,GOA,West,440000446,DEEP SRIVASTAVA,CHETAN PATIL,BR,Jairaj Bing,,,,,,30-Mar-17,14-Mar-17
6803002099,26-Mar-15,Out Of Warranty,360 Degree,360H0115012,Amneal Pharma,New Jersey,USA,1771150,Chetan Patil,Sudhir Sane,Bharat Rathod,Jairaj Bing,31-Jan-15,92000042,,No Deviation,Ait Freight,25-04-2015,03-Jan-15
6803002108,16-Aug-18,Out Of Warranty,LIS,VFPH0818003,Inva Tech Pharm,New Jersey,USA,Invatech PO 17/156,kondiba,Deep,NP,BUNTY KUNDAPUR,23-Aug-18,EX1892000026,,NA,NA,03-May-18,12-Apr-18
6803002108,18-Aug-18,Out Of Warranty,Kiosk (scanner based collation),VFTH0818022,Inva Tech Pharm,New Jersey,USA,INVATECH PO 17/156,KONDIBA,DEEP,NP,BUNTY KUNDAPUR,23-Aug-18,EX1892000026,,NA,NA,03-May-18,12-Apr-18
6803002108,18-Aug-18,Out Of Warranty,Kiosk(Pallet),VFTH0818021,Inva Tech Pharm,New Jersey,USA,invatech po 17/156,kondiba,Deep Srivastava,NP,BUNTY KUNDAPUR,23-Aug-18,EX1892000026,,NA,NA,03-May-18,12-Apr-18
6803002223,27-Dec-18,Out Of Warranty,BIS,BISH1218055,CENTAUR PHARMA,PUNE,West,4300000711,Ravi Rathod,Shankar Jha,NP,BUNTY,29-Dec-18,DO1890000301,,NA,NA,08-Aug-17,27-Jul-17
6803002241,09-Mar-18,Out Of Warranty,Universal,VFSH0418050,Orchid pharma,Chennai,South,4500312023/MG,Chetan P,Sudhir sane,nikhil,,,,,,,22-Aug-17,21-Jul-17
6803002241,10-May-18,Out Of Warranty,Tamper evident,VFSH0518055,Orchid,Tamil nadu,South,4500312023,Chetan Patil,Biswajit behera,Nikhil patel,Jairaj bing,,,,,,22-Aug-17,21-Jul-17
6803002241,16-May-18,Out Of Warranty,Tamper evident,Cs160518003,Hospira,Chennai,South,9500312023,Akshay,Biswajit behera,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,27-Jul-17,27-Jul-17
6803002241,19-May-18,Out Of Warranty,Tamper Evident System,CS160518004,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,kiosk pallet,VFYH0318101,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,,,,,,,,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,KIOSK PALLET,VFTH0318101,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,,,,,,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,LIS,VFPH0318049,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,LIS,VFPH0318048,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,ACF,PCCH0318064,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,ACF,PCCH0318061,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,NAVSTAR 360,360H0318036,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,22-May-18,Out Of Warranty,navstar 360,360H0318035,HOSPIRA,CHENNAI,South,4500312023,CHETAN PATIL,DEEP SRIVASTAVA,,,,,,,,22-Aug-17,21-Jul-17
6803002241,02-Jun-18,Out Of Warranty,TE,CS160518002,ORCHID,CHENNAI,South,4500312023,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,02-Jun-18,Out Of Warranty,TE V3,CS160518001,ORCHID,CHENNAI,South,4500312023,CHETAN PATIL,BISWAJIT BEHERA,NP,BUNTY KUNDAPUR,29-May-18,DO1890000046,,NA,NA,22-Aug-17,21-Jul-17
6803002241,20-Jun-18,Out Of Warranty,BPO,CISH0318048,HOSPIRA,CHENNAI,South,4500312023/MG,JOLDAN,QA VALIDATION,Nikhil,Jairaj Bing,25-Jun-18,DO1890000081,,NA,Customer Pick up,22-Aug-17,21-Jul-17
6803002330,06-Dec-17,Out Of Warranty,Universal - CPIR-XL,VFSH1217028,Carecam,"New jersey, USA",USA,2637,Chetan Patil,Biswajit Behera,bharat,jairaj,15-Dec-17,EX1792000043,,Machine dispatching with deviation. Deviation approval attached,Export - Air Freight,03-Nov-17,04-Aug-17
6803002330,21-Mar-18,Out Of Warranty,Collation,PCCH1217046,Carecam,New Jersey,USA,2637,Chetan Patil,Sudhir Sane,Bharat Rathod,Jairaj Bing,25-Dec-17,EX1792000043,,"Export - CPIR XL, AFC, Kiosk-3, LIS-1 - Cartening line - Ready ro dispatch without deviation",\N,03-Nov-17,04-Aug-17
6803002333,21-Aug-18,Out Of Warranty,Kiosk(Pallet),VFTH0818025,WES Pharma Inc,"Westminster, USA",USA,WES PHARMA Inc PO#,kondiba,deep,np,Jairaj,23-Aug-18,EX1892000027,,NA,NA,03-Nov-17,05-Jun-17
6803002333,21-Aug-18,Out Of Warranty,Kiosk,VFTH0818024,WES Pharma Inc,Westminster USA,USA,WES PHARMA Inc PO#,kondiba,deep,np,Jairaj,23-Aug-18,EX1892000027,,NA,NA,03-Nov-17,05-Jun-17
6803002333,21-Aug-18,Out Of Warranty,Kiosk (scanner based collation),VFTH0818023,WES Pharma Inc,Westminster USA,USA,WES PHARMA Inc PO#,kondiba,Deep,np,BUNTY KUNDAPUR,23-Aug-18,EX1892000027,,NA,NA,03-Nov-17,05-Jun-17
6803002333,21-Aug-18,Out Of Warranty,LIS,VFPH0818004,WES Pharma Inc,"Westminster, USA",USA,WES PHARMA Inc PO#,kondiba,deep,NP,BUNTY KUNDAPUR,23-Aug-18,EX1892000027,,NA,NA,03-Nov-17,05-Jun-17
6803002333,22-Aug-18,Out Of Warranty,LIS,VFPH0818005,WES Pharma Inc,Westminster,USA,WES PHARMA Inc PO#,Ashish,Deep,NP,BUNTY KUNDAPUR,23-Aug-18,EX1892000027,,NA,NA,03-Nov-17,05-Jun-17
6803002356,08-Dec-17,Out Of Warranty,Pallet,VFTH1217078,LUPIN LTD,Goa,West,3400111039,Chetan Patil,Sudhir Sane,Bharat Rathod,Jairaj Bing,15-Dec-17,DO1790000193,,Machine dispatching without deviation,\N,28-Nov-17,12-Sep-17
6803002356,08-Dec-17,Out Of Warranty,Collation,PCCH1217045,LUPIN LIMITED,Goa,West,3400111039,Chetan Patil,Sudhir Sane,Bharat Rathod,Jairaj Bing,15-Dec-17,DO1790000193,,Domestic - AFC + 360 DEGREE + KIOSK,\N,28-Nov-17,12-Sep-17
6803002356,08-Dec-17,Out Of Warranty,360 Degree,360H1217028,LUPIN LIMITED,Goa,West,3400111039,Chetan Patil,Sudhir Sane,bharat rathod,jairaj bing,09-Dec-17,NA,,NA,Transport,28-Nov-17,11-Sep-17
6803002382,19-Dec-17,Out Of Warranty,LIS - Universal,VFPH1217040,"Future Pak, Ltd.","Wimox, USA",USA,R1122171,Chetan Patil,Shankar Jha,Nikhil,Jairaj Bing,,,,,,14-Dec-17,22-Nov-17
6803002402,11-Jun-18,Out Of Warranty,TE (V3),CS160618006,VITABALANCE,FINLAND,EU/RU,VITABALANCE/005/NOV/2017-18,CHETAN PATIL,CHETAN JADHAV,BR,Bunty Kundapur,30-Jan-18,EX1892000011,,NA,NA,22-Dec-17,07-Nov-17
6803002402,29-Jun-18,Out Of Warranty,Tamper Evident System V5,CS160618013,VITABALANCE,FINLAND,EU/RU,VITABALANCE/005/NOV/2017-18,CHETAN PATIL,SUDHIR SANE,BR,Jairaj,30-Jun-18,EX1892000011,,NA,NA,22-Dec-17,07-Nov-17
6803002402,30-Jun-18,Out Of Warranty,Tamper Evident System V-3,CS160618005,VITABALANCE,FINLAND,EU/RU,VITABALANCE/005/NOV/2017-18,CHETAN PATIL,SUDHIR SANE,BR,Bunty Kundapur,30-Jun-18,EX1892000011,,NA,A,22-Dec-17,07-Nov-17
6803002405,30-Mar-18,Out Of Warranty,BIS Top,BISH1217072,AJANTA PHARMA,mumbai,West,4500002137,Chetan Patil,Shankar Jha,Nikhil,Jairaj Bing,01-Jan-18,NA,,NA,By Road,19-Dec-17,11-Dec-17
6803002475,22-May-18,Out Of Warranty,2BPO FOR IC150,CISH0518007,"RECKITT,BADDI",BADDI,North,4500543095,JOLDEN TUSCANO,Shankar Jha,NP,BUNTY KUNDAPUR,25-May-18,DO1890000035,,NA,NA,14-Feb-18,30-Jan-18
6803002477,21-Jun-18,Out Of Warranty,CPIR XL,VFSH0618006,RECKITT BENCKIS,SOLAN,North,4500500176,Chetan Patil,Vignesh Kumar g,nikhil,Bunty,26-Jun-18,DO1890000085,,NA,Customer Pick up,16-Feb-18,06-Dec-17
6803002479,07-May-18,Out Of Warranty,BIS,BISH0518005,ALKEM HEALTHSCIE,SIKKIM,East,4530026252,jolden,Shankar Jha,NP,BK,11-May-18,DO1890000023,,NA,NA,16-Feb-18,07-Feb-18
6803002483,14-Dec-17,Out Of Warranty,Universal,VFSH1217031,Amneal Pharma,"New york, USA",USA,18710974,Chetan Patil,Biswajit Behera,Bharat Rathod,Jairaj Bing,16-Dec-17,NA,,NA,\N,21-Feb-18,12-Feb-18
6803002496,28-Feb-18,Out Of Warranty,AFC SYSTEM WITH PRINTER AND SCANNER,PCCH0518002,Harman,Aurangabad,West,HFL/A-100/PO-C/00004,Chetan Patil,Sudhir Sane,NP,Bunty,30-May-18,DO1890000047,,HFL/A-100/PO-C/00004,Road,13-Mar-18,28-Feb-18
6803002496,10-May-18,Out Of Warranty,BIS,BISH0518006,HARMAN FINOCHEM,AURANGABAD,West,HFL/A-100/PO-C/00004,JOLDEN TUSCANO,Shankar Jha,NP,BK,16-May-18,CO1894000011,,NA,NA,13-Mar-18,28-Feb-18
6803002496,11-May-18,Out Of Warranty,3BPO FOR HICART,CISH0518004,HARMAN FINOCHEM,AURANGABAD,West,HFL/A-100/PO-C/00004,JOLDEN TUSCANO,Shankar Jha,NP,BK,16-May-18,CO1894000011,,NA,NA,13-Mar-18,28-Feb-18
6803002496,25-May-18,Out Of Warranty,"Tamper Evident mahcine with printer, scanner, camera and applicator",CS150518002,Harman,Aurangabad,West,HFL/A-100/PO-C/00004,Chetan Patil,Sudhir Sane,NP,BUNTY KUNDAPUR,30-May-18,DO1890000047,,NA,NA,13-Mar-18,28-Feb-18
6803002496,26-May-18,Out Of Warranty,VOYAGER / PALLET SYSTEM WITH PRINTER AND SCANNER,VFTH0518003,Harman,Aurangabad,West,HFL/A-100/PO-C/00004,Chetan Patil,Sudhir Sane,nikhil,Bunty,30-May-18,DO1890000047,,680904376,HFL/A-100/PO-C/00004,13-Mar-18,28-Feb-18
6803002515,18-Jul-18,Out Of Warranty,BIS,BISH0718025,Baroque Pharma,Sokhada - Gujrat,AMD,BPPL/PO/ACG-01-18,Ashish Patil,Shankar Jha,Bharat Rathod,Jairaj Bing,24-Jul-18,DO1890000113,,,Paid by ACGI,27-Mar-18,13-Mar-18
6803002515,18-Jul-18,Out Of Warranty,BIS,BISH0718024,Baroque Anand,Sokhada - Gujrat,AMD,BPPL/PO/ACG-01-18,Ashish Patil,Shankar Jha,Bharat,Jairaj Bing,24-Jul-18,DO1890000113,,,Paid by ACGI,27-Mar-18,13-Mar-18
6803002516,25-Apr-18,Out Of Warranty,BIS,BISH0418003,ACG PAM-PAC,SOUTH KOREA,ROW,6110300214,jolden,Shankar Jha,nikhil,Bunty,25-Apr-18,DO1890000008,,NA,NA,27-Mar-18,19-Mar-18
6803002517,21-Apr-18,Out Of Warranty,BQS,BISH0418002,ACG PAM-PAC,Pune,West,6110300213,Jolden,Shankar jha,nikhil,Bunty,25-Apr-18,DO1890000007,,"680904303
 commercial invoice",Road,29-Mar-18,19-Mar-18
6803002525,27-Jun-18,Out Of Warranty,KIOSK,VFTH0618009,SQUARE PHARMACE,MOHAKALI BANGLADESH,ROW,DC DAK801800,AKSHAY SANKPAL,DEEP SRIVASTAVA,Urvashi,,29-Jun-18,EX1892000010,,NA,Air Shipment,02-Apr-18,02-Apr-18
6803002525,27-Jun-18,Out Of Warranty,KIOSK,VFTH0618008,SQUARE PHARMACE,MOHAKALI BANGLADESH,ROW,DC DAK801800,AKSHAY SANKPAL,DEEP SRIVASTAVA,Urvashi,,29-Jun-18,EX1892000010,,NA,Air Shipment,02-Apr-18,28-Mar-18
6803002526,05-Jun-18,Out Of Warranty,1BPO,CISH0618010,EMCURE PHARMA,PUNE,West,2500030167,JOLDEN TUSCANO,Shankar Jha,NP,,19-Jun-18,DO1890000062,,NA,Paid by ACGI,04-Apr-18,27-Mar-18
6803002527,25-May-18,Out Of Warranty,BIS,BISH0518014,SAVVY PHARMA,JORDAN,ROW,PR/245/18/072,JOLDEN TUSCANO,Shankar Jha,nikhil,Bunty,29-May-18,EX1892000004,,NA,NA,04-Apr-18,18-Mar-18
6803002528,24-Apr-18,Out Of Warranty,2BPO,CISH0418057,ACG PAM-PAC,MADURAI,South,6110300731,jolden,Shankar Jha,,,,,,,,04-Apr-18,26-Mar-18
6803002528,25-Apr-18,Out Of Warranty,2BPO,CISH0418001,ACG PAM-PAC,MADURAI,South,6110300731,jolden,Shankar Jha,nikhil,jairaj,25-Apr-18,DO1890000009,,"680904305
Commercial Invoice",Road,04-Apr-18,26-Mar-18
6803002528,25-Apr-18,Out Of Warranty,BIS,BISH0418004,ACG PAM-PAC,MADURAI,South,6110300731,jolden,Shankar Jha,nikhil,Bunty,25-Apr-18,DO1890000009,,NA,NA,04-Apr-18,26-Mar-18
6803002529,16-Jul-18,Out Of Warranty,BIS,BISH0718019,Unison Labs co.,Thailand,ROW,1823200674,JOLDEN TUSCANO,Shankar Jha,Bharat Rathod,Bunty Kundapur,24-Jul-18,EX1892000017,,,Air Shipment,05-Apr-18,23-Feb-18
6803002529,23-Jul-18,Out Of Warranty,BIS,BISH0718023,Unison Labs co.,Thailand,ROW,1823200674,JOLDEN TUSCANO,Shankar Jha,BR,Bunty Kundapur,24-Jul-18,EX1892000017,,,Air Shipment,05-Apr-18,23-Feb-18
